question,mean
I can install a Julia/Python/R packages myself,4
I can see the CPU and memory usage of jobs,4.5
I can see the GPU and memory usage of jobs,4
I can transfer files to/from Bianca using rsync,5
I know the correct flags to utilize GPUs,3.5
I understand how to set up jobs efficiently,4.5
I understand the GPU configuration on Bianca,4
I understand the principles how to install software and packages myself,4.5
I understand what containers are,4.5
