"Timestamp","Any feedback?"
"2026/02/06 2:54:09 PM GMT+1","The menti quiz was a nice way to solidify the concepts "
"2026/02/06 4:04:05 PM GMT+1","I found the class informative, and very useful. For someone relatively new to interacting with HPCs, this was difficult, but not impossible. When I came upon an issue, or something wasn't clear, the staff was helpful and patient. I felt comfortable to ask ""dumb"" questions."
