question,mean
I can create a Bash script,4.38
I can log in to the Bianca console environment using SSH,4.12
I can log in to the Bianca remote desktop using the website,4.62
I can manage my files and folders using a graphical file manager,4
I can manage my files and folders using a terminal,3.5
I can navigate to the wharf folder using a graphical file manager,3.88
I can navigate to the wharf folder using a terminal,3.5
I can start RStudio,4.25
I can start an interactive session,4.12
I can submit jobs to the scheduler,3.5
I can transfer files to/from Bianca using a graphical tool,4
I can use modules,4.38
I know what NAISS SENS is and how it relates to Bianca,3.38
I understand how to be careful with sensitive data outside Bianca,4
