"Timestamp","Any feedback?"
"2026/09/18 3:05:10 pm EEST","I appreciated this course because it helped me to use some of the things I learned in the other courses, and learn it better. It was really good to learn the special things about Bianca and I think I learned it better than I would have if I had just read the documentation. There are always some issues with understanding how to access things and the course was set up in a relaxed way so that I could be at my own pace. Thanks for your patience! I also appreciate the materials for the course which are very clear, and walk you through the process. The materials train you to know how to look things up in the documentation, so that we can be self-sufficient later. Thanks!!"
"2026/09/18 4:47:01 pm EEST","1. Very nice interactive learning sessions
2. Some of the sessions had technical issues but we hoping that they are recorded, otherwise the course doc is fantastic.
3. The teachers were very patient and humble, Rea-Shell, Björn and all of the rest were super supportive during this course.
4. Again, I hope if there wad a graduate project that we could do at the end of this course."
